SourceTextTitle,SourceTextCode,EventID,StartDate,EndDate
"Absalom, Absalom!",AA,15829,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,15832,1866-01-01 , 1866-12-31
"Absalom, Absalom!",AA,15833,1866-07-01 , 1869-03-31
"Absalom, Absalom!",AA,15835,1852-01-01 , 1860-12-31
"Absalom, Absalom!",AA,15837,1866-07-01 , 1868-12-31
"Absalom, Absalom!",AA,15838,1861-06-01 , 1868-12-31
"Absalom, Absalom!",AA,15839,1910-01-13,1910-01-13
"Absalom, Absalom!",AA,15840,1869-08-12,1869-08-12
"Absalom, Absalom!",AA,15841,1869-08-17 , 1869-08-20
"Absalom, Absalom!",AA,15842,1869-08-12,1869-08-12
"Absalom, Absalom!",AA,15847,1869-08-13 , 1960-12-31
"Absalom, Absalom!",AA,15849,1870-01-01 , 1870-05-31
"Absalom, Absalom!",AA,15858,1870-06-01 , 1870-08-31
"Absalom, Absalom!",AA,15859,1870-06-08 , 1870-08-31
"Absalom, Absalom!",AA,15863,1871-12-20 , 1871-12-31
"Absalom, Absalom!",AA,15864,1871-12-10 , 1871-12-20
"Absalom, Absalom!",AA,15866,1872-01-01 , 1872-12-31
"Absalom, Absalom!",AA,15867,1875-01-01 , 1875-12-31
"Absalom, Absalom!",AA,15868,1872-01-01 , 1872-12-31
"Absalom, Absalom!",AA,15869,1873-01-01 , 1873-12-31
"Absalom, Absalom!",AA,15871,1880-01-02 , 1880-12-31
"Absalom, Absalom!",AA,15873,1880-01-01 , 1880-12-31
"Absalom, Absalom!",AA,15874,1880-01-02 , 1880-12-31
"Absalom, Absalom!",AA,15878,1882-01-01 , 1882-12-31
"Absalom, Absalom!",AA,15879,1880-06-01 , 1881-05-31
"Absalom, Absalom!",AA,15880,1882-01-01 , 1882-12-31
"Absalom, Absalom!",AA,15881,1880-01-04 , 1880-12-31
"Absalom, Absalom!",AA,15887,1881-01-02 , 1884-12-30
"Absalom, Absalom!",AA,15892,1910-01-13,1910-01-13
"Absalom, Absalom!",AA,15894,1884-02-01 , 1884-02-11
"Absalom, Absalom!",AA,15903,1895-01-01 , 1900-12-31
"Absalom, Absalom!",AA,15904,1900-01-01 , 1905-12-31
"Absalom, Absalom!",AA,15905,1908-09-01 , 1908-10-31
"Absalom, Absalom!",AA,15906,1900-01-01 , 1905-12-31
"Absalom, Absalom!",AA,15910,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,15912,1834-06-01 , 1834-08-31
"Absalom, Absalom!",AA,15914,1834-06-01 , 1834-08-31
"Absalom, Absalom!",AA,15917,1834-06-02 , 1834-08-31
"Absalom, Absalom!",AA,15919,1820-03-01 , 1820-12-31
"Absalom, Absalom!",AA,15924,1817-01-02 , 1818-12-31
"Absalom, Absalom!",AA,15925,1818-01-01 , 1819-12-31
"Absalom, Absalom!",AA,15935,1823-01-01 , 1823-12-31
"Absalom, Absalom!",AA,15936,1864-11-01 , 1864-11-30
"Absalom, Absalom!",AA,15938,1834-06-03 , 1834-08-31
"Absalom, Absalom!",AA,15940,1819-11-02 , 1820-02-28
"Absalom, Absalom!",AA,15943,1834-06-03 , 1834-08-31
"Absalom, Absalom!",AA,15947,1823-01-01 , 1826-12-31
"Absalom, Absalom!",AA,15962,1826-01-10 , 1826-12-31
